,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000695.jpg,112.51304,101.28695,172.61739,122.43478,132.54782,150.26086,94.704346,180.31303,142.56522,194.7826
000724.jpg,84.03053,113.34351,156.33588,101.618324,123.1145,154.38168,109.43511,195.41985,168.06107,187.60306
000726.jpg,118.319336,104.33614,192.53783,101.109245,168.87396,149.51262,105.41177,177.479,169.94958,177.479
000729.jpg,111.863785,108.01328,177.35216,101.2093,158.64119,139.48172,127.17275,182.85713,185.00664,178.60464
000735.jpg,94.72203,101.5322,171.08813,101.5322,135.50847,131.0373,92.98644,172.69153,167.61694,177.0305
000755.jpg,92.12457,115.155716,156.78893,97.43945,135.52942,150.58824,112.498276,196.65053,171.84776,178.93427
000876.jpg,87.86441,107.38983,163.79662,107.38983,130.1695,158.37288,90.0339,181.15254,162.71187,181.15254
000886.jpg,79.84566,111.94855,153.92926,111.1254,105.36334,153.10611,84.78456,180.2701,153.92926,181.9164
000903.jpg,75.92157,109.176476,139.29413,104.78432,97.882355,149.96078,85.333336,184.4706,141.80392,179.45099
000909.jpg,71.32825,123.1145,142.6565,93.80153,117.25191,156.33588,116.27481,190.53435,162.19847,170.99237
000913.jpg,86.63118,102.20532,164.5019,102.20532,126.539925,147.95438,90.52471,185.91635,164.5019,183.96957
000956.jpg,83.1453,111.58975,159.7265,100.649574,122.52992,155.35043,91.89744,177.23077,170.66667,166.2906
000962.jpg,81.333336,105.333336,149.33334,100.0,110.66667,149.33334,90.66667,184.0,148.0,182.66667
000976.jpg,82.28571,115.2,155.42857,100.57143,122.51429,153.6,106.057144,190.17143,160.91429,179.2
001011.jpg,98.015114,108.76238,165.29303,90.06213,153.68597,139.92947,114.35097,179.47943,182.70361,158.62971
001048.jpg,89.30232,109.54419,166.69768,94.06512,139.31163,155.9814,107.16279,185.74884,180.98605,172.65117
001064.jpg,88.296295,107.85185,162.96297,107.85185,125.03704,152.2963,96.0,188.44444,152.2963,185.48148
001071.jpg,102.4,96.91428,173.71428,120.685715,131.65715,146.28572,91.42857,175.54286,142.62857,190.17143
001098.jpg,71.84906,115.92453,134.03773,105.0566,88.15095,161.20755,89.962265,183.54718,145.50943,176.90567
001115.jpg,94.0113,101.0113,170.66667,103.90395,134.50847,140.06215,104.13559,179.11299,154.75706,180.55933
001125.jpg,101.50319,77.50319,170.80255,81.57962,145.52867,112.15287,101.50319,144.76434,167.5414,144.76434
001133.jpg,69.867805,122.26866,128.27292,103.71002,86.78892,165.93604,93.33902,196.5032,142.46483,183.94884
001136.jpg,76.09334,93.86667,140.94667,87.04,96.57333,126.293335,88.04,180.90668,149.48001,168.96
001158.jpg,83.39394,110.545456,153.21213,95.030304,118.30303,147.39395,98.909096,174.54546,172.60606,159.0303
001181.jpg,89.80984,108.27541,163.67213,109.9541,127.58033,155.27869,98.20328,189.6918,153.6,186.33443
001193.jpg,97.811325,102.64151,166.64151,95.396225,142.49057,149.73586,115.92453,188.37737,173.8868,176.3019
001250.jpg,108.85981,108.85981,171.06541,105.27103,151.92523,150.72897,112.44859,189.00934,173.45793,187.81308
001347.jpg,90.12734,105.46816,167.79027,110.26218,128.4794,157.24345,87.25094,169.70787,163.95506,174.50188
001403.jpg,68.1773,107.12057,149.87943,99.858154,102.67375,161.58865,88.14893,196.0851,146.24823,192.45389
001465.jpg,78.10843,114.120476,149.04819,98.69879,108.951805,151.13252,99.69879,178.89156,167.55421,163.46988
001468.jpg,79.12727,99.29697,170.66666,86.88484,127.224236,145.84242,100.84848,181.52727,170.66666,175.32121
001489.jpg,105.739136,102.95652,171.13043,112.695656,139.13043,151.65218,100.17391,175.30435,155.8261,187.8261
001504.jpg,83.02703,107.935135,150.83244,101.01622,103.78378,146.68109,83.02703,174.35677,156.36757,170.20541
001772.jpg,95.68932,105.631065,172.73787,105.631065,135.45631,147.8835,93.20389,176.46602,167.767,176.46602
001776.jpg,98.85259,109.13148,174.32669,114.23108,137.60956,160.1275,96.81275,176.44623,170.24701,183.58566
001799.jpg,121.74193,94.96774,191.93549,103.2258,163.03226,148.64516,109.354836,177.54839,167.16129,189.93549
001869.jpg,63.999996,104.85106,119.82978,99.40425,70.80851,138.89362,70.80851,179.74467,118.46808,172.93616
001883.jpg,77.0855,108.49071,149.41264,103.73234,108.49071,156.07434,85.65056,187.47955,153.21933,185.5762
001910.jpg,93.61194,103.16418,160.47762,103.16418,126.08955,149.01492,95.522385,181.49254,162.38806,179.58209
001915.jpg,90.79466,104.448,169.64267,110.933334,127.65867,158.37866,88.063995,176.46933,160.42667,183.296
001935.jpg,78.12987,111.376625,149.61038,103.06493,109.71429,156.25974,96.41558,192.83116,152.93506,184.51949
001937.jpg,86.837,110.51982,170.29074,95.859024,137.58589,148.86343,108.26431,192.84581,170.29074,183.82378
001940.jpg,84.08759,95.29927,183.12408,102.77372,136.40875,113.9854,84.08759,171.91241,156.9635,175.64963
001945.jpg,99.916855,106.12471,169.9769,108.48961,135.3903,154.30946,94.89146,171.15935,165.83833,173.22864
001961.jpg,85.73023,104.781395,153.6,105.97209,115.49767,150.02791,86.92093,172.65117,163.12558,176.22325
001967.jpg,79.1579,101.052635,134.73685,102.73684,82.52631,151.57895,82.52631,176.8421,134.73685,178.52632
001969.jpg,89.38305,109.34237,157.07118,103.26779,128.4339,158.80678,101.5322,189.17966,155.33559,183.97289
001993.jpg,116.93827,101.1358,183.30864,132.74074,135.90123,164.34567,85.333336,176.98766,139.06174,199.11111
001998.jpg,94.49664,97.932884,173.5302,97.932884,132.2953,147.75839,101.369125,187.27516,166.65771,188.99329
002099.jpg,58.80645,104.60215,144.13979,82.58064,102.849464,151.39784,83.58064,181.67741,174.41936,165.16129
002104.jpg,95.70093,114.84112,162.69159,107.66355,133.98131,155.514,98.09345,181.83177,169.86916,177.04672
002106.jpg,77.45641,97.14872,144.41026,97.14872,103.71282,132.59488,90.58462,175.91795,150.97437,178.5436
002113.jpg,107.440414,107.440414,167.12953,103.461136,148.55959,147.23315,110.09326,183.04663,168.45595,181.7202
002119.jpg,84.95575,105.34513,157.45132,103.07964,114.40708,150.65486,86.08849,182.37167,154.0531,178.97345
002158.jpg,86.53521,103.3615,159.84976,99.75587,118.985916,143.02348,92.5446,179.07982,161.05165,179.07982
002225.jpg,142.82106,102.4,185.93684,110.484215,203.00351,136.53334,157.193,181.44562,192.22456,187.73334
002230.jpg,94.04082,88.81632,154.12245,117.55102,86.20408,133.22449,57.469387,154.12245,135.83673,193.30612
002248.jpg,82.58064,113.30968,156.90323,111.658066,117.26451,147.99355,89.187096,185.98064,151.94838,187.63225
002251.jpg,87.06599,105.25888,168.934,100.06091,135.1472,154.63959,105.25888,187.12689,167.63452,178.03046
002275.jpg,86.7438,110.016525,162.90909,105.78512,126.94215,139.63635,93.090904,179.8347,156.56198,179.8347
002307.jpg,98.06965,114.62686,169.39304,100.61691,152.83582,143.9204,122.268654,189.77113,185.95024,175.76118
002324.jpg,95.08571,108.66938,165.09387,104.48979,137.92653,146.2857,107.62449,188.08162,165.09387,185.99182
002325.jpg,97.49231,108.30769,168.38461,100.43077,150.66154,147.6923,101.43077,173.29231,176.26154,167.38461
002373.jpg,100.45569,109.09704,170.66666,105.85654,140.42194,167.42615,110.17721,195.51054,167.42615,193.3502
002384.jpg,104.35669,110.0637,175.28662,103.541405,152.4586,154.08917,109.24841,178.54778,177.73248,172.84076
002398.jpg,90.47121,105.21466,165.5288,101.19372,129.34032,152.7958,104.5445,190.32462,159.49739,186.30367
002418.jpg,98.28572,101.71429,169.14287,105.14286,136.0,150.85715,91.42857,180.57144,168.0,181.7143
002423.jpg,105.459114,107.069176,173.08176,107.87421,146.51572,148.93082,109.484276,180.32704,168.25157,177.91194
002441.jpg,90.708664,99.779526,161.25984,104.81889,124.97638,150.17323,93.732285,177.38583,150.17323,181.41733
002493.jpg,96.10774,115.50168,167.64983,107.313126,145.67003,158.16835,111.19192,191.35353,168.94276,184.4579
002501.jpg,110.36445,98.98667,183.18222,106.95111,161.56445,144.49779,116.05334,184.32,175.21779,187.73334
002522.jpg,70.9703,124.19802,140.67326,105.18812,102.653465,154.61386,98.85149,196.43564,153.34653,185.0297
002553.jpg,87.14893,116.19858,152.51064,105.30496,125.27659,156.14185,107.12057,190.63829,159.77304,181.56027
002555.jpg,92.98655,99.109116,160.71748,120.92078,114.7982,150.76831,76.914795,170.66667,138.52316,190.56502
002599.jpg,99.957985,88.20168,177.40337,105.41177,125.77312,144.13446,91.35294,178.55463,151.58824,187.15967
002636.jpg,87.720276,110.993004,162.01398,105.622375,123.524475,158.43356,92.1958,176.33566,170.06993,171.86014
002652.jpg,82.62319,116.86957,154.97102,94.608696,134.56522,157.68117,116.014496,192.92754,171.66667,168.8116
002669.jpg,96.62257,106.58366,163.36186,109.57198,124.51362,147.42412,96.62257,183.28404,151.40855,185.27626
002688.jpg,102.6738,98.56685,167.01605,98.56685,141.00536,149.21925,108.149734,182.07487,161.54012,183.44385
002741.jpg,89.12592,113.77778,155.49629,102.4,119.46667,147.9111,98.60741,191.52592,161.18518,182.04443
002829.jpg,102.1893,104.296295,179.09465,124.31275,138.00822,167.50616,92.70782,197.0041,151.7037,209.64609
002836.jpg,81.2043,94.96774,169.29033,89.462364,125.247314,148.64516,88.08602,178.92473,177.54839,172.04301
002903.jpg,82.62434,96.16931,142.22221,130.03174,71.78836,146.2857,59.59788,166.60316,108.35979,199.1111
002914.jpg,60.952385,134.09525,119.466675,81.67619,97.52381,160.91429,124.342865,199.92381,171.88573,153.6
002996.jpg,82.72489,96.13974,168.8035,80.48908,130.79477,146.44542,95.021835,175.51093,181.10043,160.97816
003024.jpg,80.350365,110.24818,152.29198,83.15328,116.78832,131.73723,101.83942,189.66423,172.84671,163.50365
003044.jpg,91.24,105.6,159.72,103.04,130.92,144.0,95.72,177.92,161.64,179.2
003114.jpg,82.1845,110.52399,153.03322,102.02214,112.413284,153.97786,89.7417,186.09595,153.97786,177.5941
003139.jpg,90.58462,107.65128,169.35385,99.77436,132.59488,145.72308,99.77436,177.23077,174.60513,170.66667
003141.jpg,96.36781,102.25288,160.36781,115.494255,116.965515,155.95403,89.0115,164.78162,153.74713,178.75862
003170.jpg,75.39726,114.9726,149.04109,99.19178,106.9589,157.0548,87.671234,188.61644,156.0548,176.34247
003195.jpg,108.40816,108.40816,177.63264,112.32653,154.12245,152.81633,101.87755,176.32652,173.71428,180.24489
003215.jpg,90.53658,103.02438,165.46341,103.02438,129.04065,154.01625,95.73984,177.95122,163.38211,177.95122
003239.jpg,102.4,103.862854,175.54286,106.78857,141.89714,159.45143,99.47428,178.46857,171.15428,178.46857
003253.jpg,82.4698,82.4698,166.65771,80.75168,125.42282,134.01343,96.21477,182.1208,164.9396,180.40268
003261.jpg,112.58639,98.51309,176.92146,108.565445,148.10472,150.78534,107.89529,180.94241,160.16754,186.97383
003300.jpg,89.12592,107.19259,168.77037,103.4,130.84444,150.8074,96.71111,179.25185,166.87407,179.25185
003316.jpg,103.40887,107.192116,174.02956,116.0197,147.5468,143.76355,107.192116,181.59605,160.15764,189.16255
003322.jpg,82.08254,95.08572,163.75873,102.80635,110.933334,148.72382,84.92699,178.79366,143.84763,185.70158
003346.jpg,84.55045,108.03669,164.40366,103.33945,122.12843,155.00917,91.59633,185.54128,155.00917,187.8899
003350.jpg,78.36735,111.45578,137.57823,102.7483,101.0068,144.54422,92.29932,184.59863,151.51021,174.14966
003404.jpg,108.69273,95.82123,193.07262,94.39106,143.01675,143.01675,118.70391,178.77095,184.49161,177.34077
003417.jpg,72.258064,133.12903,115.6129,114.548386,78.451614,168.2258,101.161285,197.12903,136.25806,190.93549
003440.jpg,80.0,105.0,156.8,106.6,104.0,164.2,88.0,189.8,150.40001,189.8
003544.jpg,94.84974,107.440414,166.47668,100.80829,142.60103,148.55959,112.09326,188.35233,171.78238,181.7202
003572.jpg,72.96,99.84,138.23999,104.96,93.439995,140.8,70.4,183.04,125.439995,189.44
003580.jpg,77.91304,122.43478,149.14781,97.94782,117.982605,160.27826,97.94782,186.9913,175.86086,164.73042
003601.jpg,91.70149,99.343285,168.1194,95.522385,133.73134,145.19403,103.16418,183.40298,164.29851,179.58209
003606.jpg,99.3224,103.51912,165.07103,110.51366,130.09836,163.67212,92.327866,179.0601,146.88524,194.44809
003607.jpg,111.48387,110.41935,177.54839,102.161285,171.35483,135.19354,128.0,180.6129,189.93549,172.35483
003645.jpg,87.35136,101.18919,157.40541,102.054054,105.51352,140.97298,89.945946,172.10811,161.72974,174.70271
003650.jpg,86.33333,94.41135,158.95744,98.04255,119.01418,130.7234,89.96454,177.92908,155.32623,177.92908
003658.jpg,88.81632,104.48979,158.04082,105.79591,113.63265,155.42857,86.20408,172.40816,164.57143,175.0204
003677.jpg,73.87064,105.71144,133.73134,115.9005,84.0597,154.10945,75.14428,179.58209,119.72139,185.95024
003689.jpg,78.71429,111.2381,147.28572,102.09524,107.66667,158.4762,97.0,184.38095,154.90477,178.28572
003697.jpg,88.83281,109.82966,159.89906,109.02209,121.94322,148.59306,91.25552,174.43533,163.9369,172.82019
003706.jpg,84.50485,109.35922,155.33981,106.87379,108.11651,151.61165,83.26214,175.2233,160.31068,173.98059
003709.jpg,94.199135,95.30736,166.23376,97.52381,134.09525,139.63637,98.632034,173.99135,154.04329,178.42424
003710.jpg,84.68441,112.912544,151.8479,94.41825,124.593155,149.90114,109.99239,184.94296,167.42206,173.26236
003733.jpg,76.97902,103.83217,146.7972,98.46154,103.83217,143.21678,84.13986,179.02098,148.58742,179.02098
003741.jpg,69.818184,106.909096,146.18182,103.27273,81.454544,130.18182,66.18182,179.63637,138.18182,176.0
003760.jpg,88.995705,101.08154,156.01717,106.5751,115.36481,142.83261,80.20601,163.70816,159.31331,170.30043
003767.jpg,97.90816,97.90816,168.26868,111.594246,127.21042,148.4414,85.27485,169.49692,154.5826,183.183
003799.jpg,90.69059,101.02243,167.6054,107.91032,120.538124,145.79373,86.098656,172.19731,161.86548,176.78925
003849.jpg,102.66667,114.66667,172.0,114.66667,138.66667,156.0,102.66667,178.66667,170.66667,176.0
003895.jpg,89.66497,105.25888,155.93909,98.76142,116.954315,148.14214,106.55837,181.92892,153.3401,179.32994
003934.jpg,75.02313,98.05656,148.07198,100.030846,98.05656,148.73007,80.946014,176.37018,151.36247,181.63496
003958.jpg,89.92632,105.09474,157.29474,102.4,114.178955,145.5158,92.621056,177.85265,157.29474,175.1579
003967.jpg,109.43511,106.503815,181.74046,111.38931,157.31297,148.51909,107.48092,176.85497,173.92366,182.71756
004036.jpg,91.858826,111.435295,158.11765,106.91765,120.47059,155.10588,100.89412,182.21176,164.14117,177.69412
004097.jpg,93.188286,96.40167,167.09624,93.188286,131.74895,140.318,98.54393,181.02092,166.0251,176.7364
004145.jpg,96.0,107.354836,177.54839,109.41935,139.35483,146.58064,102.19354,180.64516,168.25806,184.77419
004146.jpg,103.24171,103.734604,180.28436,91.6019,151.77252,137.09953,122.04739,185.63034,183.31754,172.891
004162.jpg,101.76398,91.633545,168.54659,105.9441,131.97516,140.92548,98.583855,177.4969,151.05591,185.4472
004218.jpg,81.01266,110.177216,158.78482,97.215195,116.65823,152.3038,93.974686,181.46835,158.78482,184.70886
004239.jpg,94.9404,111.89404,167.84106,98.33112,140.71523,152.58278,105.11258,181.40398,176.31789,166.14569
004288.jpg,94.14194,106.25377,168.46452,104.05161,143.69032,156.90323,102.95054,186.08173,160.75699,184.98065
004300.jpg,125.27659,100.858154,177.92908,97.226944,179.74467,131.7234,134.3546,177.11346,187.00708,171.66666
004372.jpg,105.631065,99.41748,175.2233,98.17476,159.06796,129.24272,109.35922,171.49515,178.95146,172.73787
004401.jpg,119.17242,101.51724,189.7931,97.10345,172.13792,141.24138,128.0,180.96552,176.55173,180.96552
004424.jpg,94.27957,110.10753,163.78494,103.22581,134.88171,146.58064,101.849464,176.86021,175.48387,166.53763
004468.jpg,100.64516,111.48387,166.19354,105.29032,145.54839,153.29031,103.741936,180.64516,167.2258,177.03226
004488.jpg,101.25373,108.258705,173.21393,93.61194,146.46765,153.47263,120.995026,191.6816,174.48756,183.40298
004533.jpg,113.17177,108.058586,179.98401,109.4221,152.71371,153.73634,100.21837,172.1438,172.1438,173.50731
004535.jpg,91.28682,113.11628,164.71318,107.16279,134.94574,158.75969,99.22481,184.55814,164.71318,178.60464
004537.jpg,97.59116,110.32045,169.72377,104.66299,142.85083,158.40884,100.41989,182.45305,171.13812,178.20995
004575.jpg,118.63414,101.983734,181.07317,145.69106,143.60976,172.74796,62.439022,158.17886,133.20325,208.13007
004579.jpg,83.781815,105.50303,156.70302,86.88484,131.87878,138.08484,111.70909,187.73332,172.21817,173.76968
004604.jpg,82.91253,106.88416,151.30023,104.463356,114.38298,141.98581,84.12293,180.71867,155.53664,181.32388
004683.jpg,63.146667,110.933334,114.34667,92.16,71.68,146.77333,80.21333,194.56,119.46667,182.61334
004727.jpg,88.17778,108.08889,163.55556,106.66667,126.57778,160.71112,98.13334,176.35556,163.55556,176.35556
004729.jpg,109.45583,106.74205,176.39577,107.646645,153.78091,151.06714,112.16961,184.53711,169.15901,189.06007
004843.jpg,84.8,101.6,154.40001,111.200005,96.0,136.0,84.8,176.8,127.200005,188.0
004853.jpg,73.31455,108.169014,153.84038,97.35211,116.58216,134.61034,99.75587,183.88733,147.831,179.07982
004890.jpg,94.93009,109.71429,168.07295,109.71429,134.61398,164.18237,101.155014,185.9696,161.84802,185.9696
004948.jpg,84.940094,115.6129,153.36406,104.99539,115.6129,158.08295,94.377884,185.21658,161.62212,178.13824
004955.jpg,95.01982,113.470276,170.20541,110.702705,136.53334,149.44865,100.554955,179.89189,170.20541,177.12433
004964.jpg,68.845955,101.597916,130.33943,116.97128,68.845955,157.74413,66.172325,180.46997,114.96606,190.4961
004979.jpg,97.882355,106.487404,173.17648,101.109245,140.90758,154.89076,103.26051,178.55463,169.94958,173.17648
005022.jpg,85.333336,92.44444,177.77779,88.88889,135.11111,152.88889,99.55556,181.33333,170.66667,181.33333
005050.jpg,97.28,92.16,177.49333,95.57333,141.65334,124.58667,105.81334,172.37334,170.66667,174.08
005072.jpg,76.67005,132.54822,66.27411,61.07614,127.35025,66.27411,183.22842,122.15228,168.934,71.47208
005109.jpg,78.03422,105.107315,145.31882,103.91291,105.107315,151.68896,90.376366,181.549,141.33748,181.549
005142.jpg,126.12871,102.653465,183.15842,98.85149,174.28712,145.74257,126.12871,186.29703,183.15842,185.0297
005143.jpg,104.45977,92.68965,170.66667,108.873566,128.0,138.29884,92.68965,176.55173,151.54022,185.3793
005145.jpg,65.48837,91.28682,128.99225,93.27132,81.36434,140.89923,75.41085,182.57364,125.023254,184.55814
005159.jpg,82.535515,111.91257,162.27322,106.31694,121.70492,141.28961,96.52459,188.85245,152.48087,188.85245
005182.jpg,115.45098,85.333336,180.70589,145.56863,143.05882,135.52942,85.333336,155.60785,135.52942,195.76471
005218.jpg,79.792206,113.03896,156.25974,93.09091,116.36364,146.28572,99.74026,189.5065,162.90909,176.2078
005220.jpg,90.53658,112.39024,167.02438,99.902435,135.80487,149.85365,101.46341,192.0,179.51219,177.95122
005238.jpg,137.57008,107.66355,184.22429,133.98131,172.26167,165.0841,107.66355,190.2056,153.12149,202.16821
005260.jpg,86.69323,113.21116,161.14742,112.19124,123.41036,148.90837,103.011955,178.48605,161.14742,169.30678
005302.jpg,93.97468,101.53586,159.86497,108.01688,116.65822,151.22362,88.57384,176.0675,153.38396,180.38818
005309.jpg,99.945206,99.945206,177.09589,105.205475,140.27397,150.79453,101.69863,173.58904,163.0685,177.09589
005324.jpg,73.26667,113.77778,141.53334,93.86667,101.71111,137.95557,93.17778,186.31111,157.17778,173.51111
005327.jpg,90.122444,114.938774,161.95918,104.48979,133.22449,141.06122,105.79591,189.38776,169.79591,182.85713
005349.jpg,89.35849,99.01887,164.22641,99.01887,128.0,149.73586,96.603775,173.8868,154.56604,171.4717
005373.jpg,105.411766,106.91765,171.6706,102.4,159.62354,135.52942,117.458824,179.2,182.21176,174.68236
005379.jpg,83.79882,100.73373,158.02367,109.065094,111.82249,146.9349,74.71006,168.89941,152.7219,181.01776
005384.jpg,83.287674,123.61644,148.16438,109.58904,114.84931,159.56165,102.57534,191.12329,159.56165,184.10959
005422.jpg,122.38596,108.912285,178.52632,119.01755,154.94737,166.17545,96.5614,170.66667,157.19298,180.77193
005506.jpg,58.31111,108.08889,126.57778,100.97778,76.8,156.44444,68.26667,182.04445,129.42223,179.2
005510.jpg,86.165855,106.14634,156.09756,106.14634,116.13659,157.34634,83.66829,168.58537,161.09268,169.83415
005549.jpg,98.82353,111.05882,171.29411,103.52941,152.4706,139.29411,120.47059,192.0,176.0,185.41176
005591.jpg,93.65853,103.02438,163.90244,95.219505,127.99999,140.4878,101.46341,177.95122,173.26828,170.14633
005644.jpg,116.753136,100.68619,181.02092,107.11297,160.66945,148.88702,103.89958,170.30962,171.38075,178.87866
005654.jpg,94.49664,100.22372,163.79419,100.22372,130.00447,128.85905,96.21477,185.55705,158.06711,182.1208
005673.jpg,86.64616,109.292305,160.49231,103.38461,123.07692,148.67693,90.58462,179.2,168.36923,174.27692
005683.jpg,108.606064,96.969696,178.42426,96.969696,155.15152,143.51515,110.545456,180.36365,172.60606,178.42426
005688.jpg,79.30981,107.41962,148.5804,106.415695,98.38432,157.61569,89.34902,185.7255,141.55295,185.7255
005693.jpg,80.23881,85.0597,168.1194,83.149254,122.268654,146.19403,87.88059,171.02985,171.94029,165.29851
005717.jpg,85.8,92.8,180.2,97.6,133.8,124.8,85.8,169.6,173.8,169.6
005730.jpg,85.333336,102.333336,163.55556,98.77778,122.666664,145.0,85.333336,177.0,161.77779,177.0
005733.jpg,118.76289,112.01833,181.80986,101.754875,165.97481,159.23026,119.93586,182.68959,178.5842,171.5464
005756.jpg,56.718567,103.70659,119.56886,99.10779,72.047905,146.62875,64.38324,198.7485,110.37126,198.7485
005767.jpg,89.187096,113.96129,161.85806,105.703224,130.47742,153.59999,102.4,186.63225,163.50967,178.37419
005783.jpg,82.747475,115.50168,149.11784,93.090904,122.3973,151.7037,100.84848,181.87206,176.70033,160.32323
005795.jpg,106.66667,102.66667,184.0,105.333336,165.33334,149.33334,108.0,181.33334,178.66667,182.66667
005800.jpg,89.44578,105.89558,163.46988,105.89558,124.4016,162.44176,96.64256,190.20079,152.16064,191.22891
005807.jpg,103.36604,112.06038,174.85283,92.739624,156.49811,140.07547,129.44907,187.41132,181.6151,173.8868
005826.jpg,89.493675,106.288605,158.19241,121.84304,106.99241,149.7114,71.994934,167.21013,149.76709,186.65317
005830.jpg,84.5815,103.753296,160.14096,100.37004,119.54185,149.99118,85.70924,177.05727,165.77972,172.54625
005874.jpg,72.1326,89.10497,141.43646,93.34807,79.20442,135.779,66.47514,178.20995,128.70718,179.62431
005909.jpg,138.52448,100.25175,195.81119,119.94405,165.37762,152.16783,104.51049,159.32867,165.37762,189.76224
005918.jpg,80.53933,113.61798,161.07866,109.303375,123.685394,165.39326,94.92135,188.4045,153.88765,189.8427
005935.jpg,88.20974,103.55056,162.03746,114.09738,123.685394,141.90262,93.003746,183.13109,146.69662,185.04869
005992.jpg,73.53191,123.91489,137.5319,92.59574,106.21276,151.14893,110.29787,196.0851,157.95744,179.74467
006002.jpg,99.15493,108.169014,166.76056,114.478874,128.0,155.04225,92.84507,174.87323,161.35211,181.18309
006052.jpg,94.04082,108.40816,169.79591,97.95918,138.44897,154.12245,112.32653,180.24489,167.18367,176.32652
006090.jpg,89.42466,106.9589,161.31506,108.712326,124.49315,156.0548,94.68493,189.36986,154.30136,189.36986
006111.jpg,89.51049,112.78322,171.86014,107.41258,132.47552,153.95804,100.25175,187.97203,168.27972,186.18182
006133.jpg,90.35294,118.96471,161.12941,88.84706,141.55295,134.02353,108.42353,179.2,189.74118,149.08235
006142.jpg,82.13904,109.51872,154.69519,104.72727,108.83423,157.43315,97.882355,186.18182,147.85027,183.44385
006199.jpg,105.86466,101.052635,173.2331,112.60151,127.0376,157.8346,85.65414,167.45865,164.57143,181.89474
